symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
DEXEUSDT,2023-01-17 14:00:00,2023-01-17 15:00:00,2.6065,959.1406100134279,2537.4999999999995,-113.50521053136352,-0.04473111745078366,1.0,fvg_invalidated,1
COTIUSDT,2023-01-18 03:00:00,2023-01-18 06:00:00,0.0747,33078.83965685621,2508.0541622026662,-88.83668063723186,-0.03542055908362529,3.0,fvg_invalidated,1
AMPUSDT,2023-01-18 12:00:00,2023-01-18 15:00:00,0.0049,358891.5595952061,1784.9471716467574,-102.18430468648822,-0.057247803357796286,3.0,fvg_invalidated,1
ONGUSDT,2023-01-18 14:00:00,2023-01-18 15:00:00,0.2802,8735.570670501029,2484.4225054025037,-111.85075789597911,-0.04502082783936868,1.0,fvg_invalidated,1
DEXEUSDT,2023-01-18 15:00:00,2023-01-18 16:00:00,2.577,928.8230619334189,2429.4806860614567,-195.41132226677095,-0.0804333713735182,1.0,fvg_invalidated,1
MINAUSDT,2023-01-18 15:00:00,2023-01-18 16:00:00,0.557,4296.175332910063,2428.8642053373687,-245.67506794232875,-0.10114812816725773,1.0,fvg_invalidated,1
SPELLUSDT,2023-01-18 15:00:00,2023-01-18 16:00:00,0.0007117499999999999,3361239.8235048414,2428.247881045264,-200.09111184413612,-0.08240143578669772,1.0,fvg_invalidated,1
SUPERUSDT,2023-01-18 15:00:00,2023-01-18 16:00:00,0.10245,23345.58694396593,2427.631713145449,-204.03303517559738,-0.08404612366479369,1.0,fvg_invalidated,1
ZENUSDT,2023-01-19 09:00:00,2023-01-19 11:00:00,9.765,221.14378088719818,2191.8610556689423,-76.71931656587172,-0.035001906880661036,2.0,fvg_invalidated,1
GALAUSDT,2023-01-19 21:00:00,2023-01-20 06:00:00,0.04529,33818.76825660016,1554.6267945565423,-66.65029733931502,-0.04287221703156546,9.0,fvg_invalidated,1
COTIUSDT,2023-01-19 21:00:00,2023-01-21 10:00:00,0.06845,31557.60475921737,2192.519816454955,115.64250339590127,0.05274410864066054,37.0,stop,2
STORJUSDT,2023-01-20 07:00:00,2023-01-21 10:00:00,0.3303,6486.583968455487,2174.6564650525597,29.097709719925138,0.013380370733278954,27.0,stop,2
ONGUSDT,2023-01-21 15:00:00,2023-01-21 22:00:00,0.29375,7415.218597202468,2210.893769872148,-78.82391272361065,-0.03565251021905448,7.0,fvg_invalidated,1
MINAUSDT,2023-01-21 23:00:00,2023-01-22 00:00:00,0.5754999999999999,2849.5333839045657,1664.5050593736332,-70.70290015094456,-0.04247683102720675,1.0,fvg_invalidated,1
COTIUSDT,2023-01-21 23:00:00,2023-01-22 02:00:00,0.07794999999999999,23150.54763085665,1831.6539656426548,-63.441847542152786,-0.03463637167945833,3.0,fvg_invalidated,1
DEXEUSDT,2023-01-20 14:00:00,2023-01-22 15:00:00,2.5135,852.1881920288777,2174.104645974553,15.732678698552457,0.007236394406167237,49.0,stop,2
AMPUSDT,2023-01-22 13:00:00,2023-01-22 20:00:00,0.004875,435600.31479493855,2155.404807644705,-134.39242189126608,-0.06235136036377404,7.0,fvg_invalidated,1
DEXEUSDT,2023-01-22 19:00:00,2023-01-22 20:00:00,2.6494999999999997,802.5446076436591,2158.2370670211526,-133.19450641192373,-0.0617144930217336,1.0,fvg_invalidated,1
SPELLUSDT,2023-01-22 20:00:00,2023-01-23 12:00:00,0.00071055,2897622.470775205,2089.7892313084617,4.257097107766418,0.002037094001628556,16.0,stop,2
AMPUSDT,2023-01-24 09:00:00,2023-01-24 16:00:00,0.0049250000000000006,418161.92356922565,2090.3391856821127,-76.18925928503417,-0.03644827586206893,7.0,fvg_invalidated,1
SPELLUSDT,2023-01-24 09:00:00,2023-01-24 21:00:00,0.0007407,2779701.4834373104,2089.8087621137456,-73.81787351117525,-0.035322788787865864,12.0,fvg_invalidated,1
ZENUSDT,2023-01-24 20:00:00,2023-01-24 21:00:00,10.805,162.68359945745414,1784.1632365198586,-77.86070013462638,-0.04363989714668676,1.0,fvg_invalidated,1
STORJUSDT,2023-01-27 01:00:00,2023-01-28 06:00:00,0.36575,3991.5248813623843,1481.7987287386663,64.04490683150811,0.04322105667213272,29.0,stop,2
