symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
GALAUSDT,2023-01-21 06:30:00,2023-01-21 06:45:00,0.05023,49771.05315548478,2537.5,-102.52871292056489,-0.040405404106626554,0.25,coil_reentry,1
SUPERUSDT,2023-01-21 07:30:00,2023-01-21 08:45:00,0.106,23331.18619724284,2510.202322961357,-92.91432589257559,-0.037014676085138,1.25,coil_reentry,1
SCRTUSDT,2023-01-21 06:45:00,2023-01-21 09:00:00,0.8,3092.1668084623234,2510.8394484714063,-73.07399325257701,-0.02910341133004912,2.25,volume_fade,1
SCRTUSDT,2023-01-21 21:00:00,2023-01-21 22:45:00,0.81,3001.211242642855,2467.445823138823,-98.46405357580683,-0.03990525451559917,1.75,coil_reentry,1
SPELLUSDT,2023-01-22 06:30:00,2023-01-22 07:30:00,0.0007274,3307325.0366936713,2441.834455166341,-92.60533915482534,-0.03792449523303862,1.0,coil_reentry,1
MINAUSDT,2023-01-22 07:30:00,2023-01-22 09:00:00,0.599,3976.6050722679106,2417.7162348628053,-56.65837082429223,-0.023434665328914143,1.5,volume_fade,1
SUPERUSDT,2023-01-22 08:15:00,2023-01-22 10:00:00,0.1062,22423.55940894315,2417.102739368209,-56.34561736473993,-0.02331122150788996,1.75,volume_fade,1
SCRTUSDT,2023-01-22 08:30:00,2023-01-22 10:45:00,0.808,2946.5070959714367,2416.4893995480948,-47.19081567301418,-0.019528666536604417,2.25,volume_fade,1
GALAUSDT,2023-01-23 10:00:00,2023-01-23 11:00:00,0.05134,45580.92929936741,2375.2267838829653,-78.47218257890589,-0.03303776427218516,1.0,volume_fade,1
STORJUSDT,2023-01-23 11:30:00,2023-01-23 12:00:00,0.3736,6209.617392636043,2354.7117537571576,-91.95725216242509,-0.039052445385597157,0.5,coil_reentry,1
AMPUSDT,2023-01-25 08:45:00,2023-01-25 09:00:00,0.00489,469598.1731921841,2330.7800929134273,-85.95919659374285,-0.03688001148417894,0.25,stop,1
COTIUSDT,2023-01-25 09:15:00,2023-01-25 10:00:00,0.0995,22856.910278775034,2308.3765113291875,-95.26794489558854,-0.04127053989157612,0.75,coil_reentry,1
SUPERUSDT,2023-01-25 12:45:00,2023-01-25 13:00:00,0.116,19395.418037813677,2283.616519772182,-102.53240340513095,-0.04489913368438926,0.25,coil_reentry,1
STORJUSDT,2023-01-25 21:45:00,2023-01-25 22:00:00,0.3604,6166.859380847597,2255.874162670336,-98.1943631579711,-0.04352829815725888,0.25,stop,1
AMPUSDT,2023-01-25 21:30:00,2023-01-25 22:45:00,0.00494,450134.5116204779,2257.019454716238,-97.73361028409848,-0.043302068167766834,1.25,coil_reentry,1
ONGUSDT,2023-01-25 21:30:00,2023-01-25 23:15:00,0.2906,7650.035211773852,2256.4467360296035,-50.8142840642603,-0.022519602724446336,1.75,volume_fade,1
STORJUSDT,2023-01-26 06:30:00,2023-01-26 07:00:00,0.3666,5892.762105674371,2192.6908867593274,-90.00400950638145,-0.04104728580297164,0.5,coil_reentry,1
SPELLUSDT,2023-01-27 00:00:00,2023-01-27 00:15:00,0.0007385,2893290.5739315245,2168.7455151811573,-90.58116517118593,-0.04176661786139514,0.25,coil_reentry,1
SUPERUSDT,2023-01-26 23:45:00,2023-01-27 00:15:00,0.1203,17765.89703110506,2169.2959740345677,-84.12531546129836,-0.03878000810780918,0.5,coil_reentry,1
STORJUSDT,2023-01-27 00:00:00,2023-01-27 00:45:00,0.3719,5743.890568619617,2168.19519600668,-88.13915355160927,-0.04065093111263296,0.75,coil_reentry,1
DEXEUSDT,2023-01-27 07:30:00,2023-01-27 08:15:00,2.72,760.9924430605184,2100.9479368014795,-70.72975011713702,-0.03366563677195031,0.75,coil_reentry,1
SPELLUSDT,2023-01-27 07:30:00,2023-01-27 08:30:00,0.0007457,2775076.0468558534,2100.4148212625155,-60.48547010237438,-0.028796916442447223,1.0,volume_fade,1
ONGUSDT,2023-01-27 23:15:00,2023-01-28 00:00:00,0.3112,6542.562016003265,2066.585978870919,-87.04257873156955,-0.042119021236718804,0.75,coil_reentry,1
STORJUSDT,2023-01-27 23:45:00,2023-01-28 00:00:00,0.4117,4944.2036747279535,2066.0615826787807,-122.54592972438756,-0.05931378365087208,0.25,coil_reentry,1
SPELLUSDT,2023-01-28 05:00:00,2023-01-28 05:15:00,0.0008609,2302371.845530208,2011.8436006442103,-99.22356271709695,-0.049319719825797935,0.25,coil_reentry,1
SUPERUSDT,2023-01-28 04:45:00,2023-01-28 06:45:00,0.1254,15810.327036489944,2012.3542355314767,36.12495300436755,0.017951587432531082,2.0,volume_fade,1
ONGUSDT,2023-01-28 23:45:00,2023-01-29 00:00:00,0.3046,6453.8224178877645,1995.3218231159422,-80.0534746512875,-0.04012058291743338,0.25,coil_reentry,1
MINAUSDT,2023-01-29 00:30:00,2023-01-29 02:00:00,0.649,2997.414652342083,1974.501941010562,-82.89681435371105,-0.04198365807191051,1.5,coil_reentry,1
GALAUSDT,2023-01-29 03:30:00,2023-01-29 04:45:00,0.05917,32518.240329496904,1952.9658445007767,-84.93019543769823,-0.043487803781539436,1.25,volume_fade,1
SPELLUSDT,2023-01-29 09:45:00,2023-01-29 10:45:00,0.0008309,2288964.689090385,1930.4292715676788,-72.3479398268161,-0.03747764338864547,1.0,volume_fade,1
DEXEUSDT,2023-01-29 09:45:00,2023-01-29 11:45:00,2.747,692.531303231082,1930.9192423254187,-68.372344773063,-0.03540922026895425,2.0,volume_fade,1
DEXEUSDT,2023-01-31 01:15:00,2023-01-31 03:15:00,2.743,680.3638650008528,1894.2316529227992,-57.71115386845806,-0.030466787828938323,2.0,volume_fade,1
