symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
SUPERUSDT,2023-01-22 08:00:00,2023-01-22 09:00:00,0.11,22727.272727272728,2537.4999999999995,-158.27392045454522,-0.062373958799820786,1.0,coil_reentry,1
SUPERUSDT,2023-01-26 09:00:00,2023-01-26 10:00:00,0.1226,17605.910034973986,2190.861838842128,-124.5098408510175,-0.056831443518510986,1.0,coil_reentry,1
SUPERUSDT,2023-01-27 19:00:00,2023-01-27 22:00:00,0.1226,19800.21071177986,2463.918420763174,-136.1312996951109,-0.055249921648357826,3.0,coil_reentry,1
GALAUSDT,2023-01-27 16:00:00,2023-01-28 08:00:00,0.0508,47797.67655932872,2464.543798752107,256.2388749518034,0.10397010395252337,16.0,volume_fade,1
DEXEUSDT,2023-01-29 09:00:00,2023-01-29 18:00:00,2.747,894.3999808784831,2493.7704986852905,-80.38154191350998,-0.032232934809312615,9.0,volume_fade,1
MINAUSDT,2023-01-29 09:00:00,2023-01-29 18:00:00,0.674,3644.3520843449874,2493.1377044212495,100.70347005868395,0.04039226147841721,9.0,volume_fade,1
ONGUSDT,2023-01-29 18:00:00,2023-01-30 03:00:00,0.3063,8033.79204198077,2497.6617599955903,3.471851433694468,0.0013900406729614972,9.0,volume_fade,1
STORJUSDT,2023-02-01 02:00:00,2023-02-01 05:00:00,0.3679,6689.301576181394,2497.908960625292,-99.81540348562362,-0.039959584219849714,3.0,coil_reentry,1
MINAUSDT,2023-02-01 19:00:00,2023-02-02 00:00:00,0.837,1449.6522153366502,1231.5592878003276,62.452561316312554,0.05071015413952038,5.0,volume_fade,1
AMPUSDT,2023-02-01 20:00:00,2023-02-02 05:00:00,0.00464,524807.7224016427,2471.6344494227765,-36.60995694547146,-0.014812043485646237,9.0,volume_fade,1
MINAUSDT,2023-02-03 07:00:00,2023-02-03 08:00:00,0.901,1569.0224078023723,1434.8945272713866,-113.17148378475872,-0.07887094252144583,1.0,coil_reentry,1
STORJUSDT,2023-02-04 00:00:00,2023-02-04 03:00:00,0.4162,5796.009081801944,2448.4834645436586,-128.5238062447348,-0.052491188160296076,3.0,volume_fade,1
SCRTUSDT,2023-02-04 07:00:00,2023-02-04 09:00:00,0.809,2941.3546445224342,2415.249246029929,-105.089159942694,-0.043510689472498344,2.0,coil_reentry,1
SPELLUSDT,2023-02-04 12:00:00,2023-02-04 17:00:00,0.0008571,2744930.352492671,2387.9700021982903,-69.34343795410905,-0.02903865538104484,5.0,volume_fade,1
AMPUSDT,2023-02-07 04:00:00,2023-02-07 12:00:00,0.00487,479414.15875408443,2369.768157429377,-60.559380797444504,-0.025554981236281242,8.0,volume_fade,1
DEXEUSDT,2023-02-07 09:00:00,2023-02-07 15:00:00,3.001,777.7922396178055,2369.16682875943,-99.9497989670048,-0.042187742017028684,6.0,coil_reentry,1
ZENUSDT,2023-02-11 12:00:00,2023-02-11 14:00:00,10.66,215.1439891599186,2327.836448311403,605.0940833995386,0.2599384006717782,2.0,stop,2
SCRTUSDT,2023-02-11 13:00:00,2023-02-11 16:00:00,0.77,3112.360966225648,2432.465713153655,-128.75294210286907,-0.052931040880302,3.0,coil_reentry,1
DEXEUSDT,2023-02-11 14:00:00,2023-02-11 18:00:00,2.778,879.5962454118971,2480.171145300564,-101.56205711671878,-0.04094961644447758,4.0,volume_fade,1
AMPUSDT,2023-02-12 08:00:00,2023-02-12 12:00:00,0.00473,504189.07461202925,2420.5865377586215,-96.15924282345082,-0.0397255959757964,4.0,coil_reentry,1
SCRTUSDT,2023-02-12 10:00:00,2023-02-12 18:00:00,0.788,3025.64616279246,2419.9723139246653,-28.658194298890773,-0.011842364532019565,8.0,volume_fade,1
ZENUSDT,2023-02-12 07:00:00,2023-02-12 18:00:00,11.77,169.17160121723603,2021.0169925217708,156.02016710428796,0.0771988398324203,11.0,volume_fade,1
