symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
GALAUSDT,2023-01-21 06:30:00,2023-01-21 06:45:00,0.05023,49771.05315548478,2537.5,-102.52871292056489,-0.040405404106626554,0.25,coil_reentry,1
SUPERUSDT,2023-01-21 07:30:00,2023-01-21 08:45:00,0.106,23331.18619724284,2510.202322961357,-92.91432589257559,-0.037014676085138,1.25,coil_reentry,1
SCRTUSDT,2023-01-21 06:45:00,2023-01-21 09:00:00,0.8,3092.1668084623234,2510.8394484714063,-73.07399325257701,-0.02910341133004912,2.25,volume_fade,1
SCRTUSDT,2023-01-21 21:00:00,2023-01-21 22:45:00,0.81,3001.211242642855,2467.445823138823,-98.46405357580683,-0.03990525451559917,1.75,coil_reentry,1
SPELLUSDT,2023-01-22 06:30:00,2023-01-22 07:30:00,0.0007274,3307325.0366936713,2441.834455166341,-92.60533915482534,-0.03792449523303862,1.0,coil_reentry,1
MINAUSDT,2023-01-22 07:30:00,2023-01-22 09:30:00,0.599,3976.6050722679106,2417.7162348628053,-72.31052698504328,-0.029908607942630033,2.0,volume_fade,1
SUPERUSDT,2023-01-22 08:15:00,2023-01-22 10:15:00,0.1062,22423.55940894315,2417.102739368209,-38.693522315307035,-0.016008224096184215,2.0,volume_fade,1
SCRTUSDT,2023-01-22 08:30:00,2023-01-22 10:45:00,0.808,2946.5070959714367,2416.4893995480948,-47.19081567301418,-0.019528666536604417,2.25,volume_fade,1
STORJUSDT,2023-01-23 11:30:00,2023-01-23 12:00:00,0.3736,6263.466170729655,2375.1314258053676,-92.7546902898796,-0.03905244538559715,0.5,coil_reentry,1
GALAUSDT,2023-01-23 10:00:00,2023-01-23 12:15:00,0.05134,45590.66799672172,2375.734268375968,-107.64918449167345,-0.04531196351570983,2.25,volume_fade,1
AMPUSDT,2023-01-25 08:45:00,2023-01-25 09:00:00,0.00489,468166.91407622886,2323.6762529802504,-85.69720689542551,-0.03688001148417894,0.25,stop,1
COTIUSDT,2023-01-25 09:15:00,2023-01-25 10:00:00,0.0995,22787.24612106189,2301.340953881343,-94.9775836412778,-0.04127053989157612,0.75,coil_reentry,1
SUPERUSDT,2023-01-25 12:45:00,2023-01-25 13:00:00,0.116,19336.303947386794,2276.656426765321,-102.21990125876012,-0.04489913368438926,0.25,coil_reentry,1
STORJUSDT,2023-01-25 21:45:00,2023-01-25 22:00:00,0.3604,6148.063793024815,2248.9986238712354,-97.89508265513203,-0.04352829815725887,0.25,stop,1
AMPUSDT,2023-01-25 21:30:00,2023-01-25 22:45:00,0.00494,448762.5745901795,2250.140425252619,-97.43573408133676,-0.043302068167766834,1.25,coil_reentry,1
ONGUSDT,2023-01-25 21:30:00,2023-01-26 00:30:00,0.2906,7626.719144422482,2249.5694521197106,-46.907007343336794,-0.02085154885933286,3.0,volume_fade,1
STORJUSDT,2023-01-26 06:30:00,2023-01-26 07:00:00,0.3666,5877.360843781299,2186.9600926101775,-89.7687759610633,-0.04104728580297165,0.5,coil_reentry,1
SPELLUSDT,2023-01-27 00:00:00,2023-01-27 00:15:00,0.0007385,2885728.699709762,2163.0773044066937,-90.34442317781108,-0.04176661786139515,0.25,coil_reentry,1
SUPERUSDT,2023-01-26 23:45:00,2023-01-27 00:15:00,0.1203,17719.46426697262,2163.626324586558,-83.9054464097361,-0.03878000810780918,0.5,coil_reentry,1
STORJUSDT,2023-01-27 00:00:00,2023-01-27 00:45:00,0.3719,5728.878395831023,2162.5284235407007,-87.90879397446379,-0.04065093111263297,0.75,coil_reentry,1
DEXEUSDT,2023-01-27 07:30:00,2023-01-27 08:15:00,2.72,759.003521107783,2095.456921074367,-70.544891576159,-0.033665636771950315,0.75,coil_reentry,1
SPELLUSDT,2023-01-27 07:30:00,2023-01-27 09:00:00,0.0007457,2767823.1368954023,2094.9251988806445,-79.93715819051836,-0.0381575238262589,1.5,coil_reentry,1
ONGUSDT,2023-01-27 23:15:00,2023-01-28 00:00:00,0.3112,6509.709092035707,2056.208791483134,-86.60550175560601,-0.0421190212367188,0.75,coil_reentry,1
STORJUSDT,2023-01-27 23:45:00,2023-01-28 00:00:00,0.4117,4919.376772513095,2055.6870285022956,-121.93057566248926,-0.05931378365087208,0.25,coil_reentry,1
SPELLUSDT,2023-01-28 05:00:00,2023-01-28 05:15:00,0.0008609,2290810.679277411,2001.7412974967717,-98.72531995627001,-0.049319719825797935,0.25,coil_reentry,1
SUPERUSDT,2023-01-28 04:45:00,2023-01-28 06:45:00,0.1254,15730.9368112599,2002.2493682739714,35.943554596300324,0.017951587432531082,2.0,volume_fade,1
ONGUSDT,2023-01-28 23:45:00,2023-01-29 00:00:00,0.3046,6421.415092336037,1985.3024826824399,-79.6514928726472,-0.04012058291743339,0.25,coil_reentry,1
MINAUSDT,2023-01-29 00:30:00,2023-01-29 02:00:00,0.649,2982.363387190638,1964.587145861025,-82.48055498429986,-0.04198365807191051,1.5,coil_reentry,1
GALAUSDT,2023-01-29 03:30:00,2023-01-29 05:00:00,0.05917,32354.952725269293,1943.1591910454968,-92.1447877299108,-0.047420092061697346,1.5,coil_reentry,1
DEXEUSDT,2023-01-29 09:45:00,2023-01-29 11:45:00,2.747,688.3584150068967,1919.2843745143043,-67.9603631759391,-0.03540922026895425,2.0,volume_fade,1
SPELLUSDT,2023-01-29 09:45:00,2023-01-29 11:45:00,0.0008309,2275172.3973165443,1918.7973561042713,-64.3000702408973,-0.0335106101935879,2.0,volume_fade,1
DEXEUSDT,2023-01-31 01:15:00,2023-01-31 03:15:00,2.743,676.9580522191329,1884.7493762956376,-57.42225935832303,-0.030466787828938326,2.0,volume_fade,1
