symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
TRXUSDT,2023-05-20 14:00:00,2023-05-21 10:00:00,0.07258,34444.75062000551,2537.5,-96.87928733810962,-0.03817902949285108,20.0,trail_stop,1
TRXUSDT,2023-05-21 13:00:00,2023-06-01 07:00:00,0.07502,32993.1458699743,2512.272990212954,-108.0991835868811,-0.04302843839343989,258.0,trail_stop,1
TRXUSDT,2023-06-02 21:00:00,2023-06-04 06:00:00,0.08214,29796.60261774043,2484.2053331065167,-119.04567620035841,-0.04792102915723594,33.0,trail_stop,1
XRPUSDT,2023-06-13 11:00:00,2023-06-13 12:00:00,0.56167,4303.435235347861,2453.3671256674,-134.3627928947746,-0.0547666883969611,1.0,stop,1
BCHUSDT,2023-06-22 00:00:00,2023-06-22 06:00:00,145.07,6.672315928596386,982.4721648378996,-101.31896197749802,-0.10312654709583031,6.0,trail_stop,1
BTCUSDT,2023-06-23 15:00:00,2023-06-23 16:00:00,31238.0,0.07546357225485428,2392.691036148595,-107.47624231976629,-0.044918562696153984,1.0,stop,1
XLMUSDT,2023-06-30 10:00:00,2023-06-30 13:00:00,0.11386,20459.15767130733,2364.4218878418783,-142.30805946750684,-0.060187253467442,3.0,trail_stop,1
ETCUSDT,2023-07-01 00:00:00,2023-07-01 04:00:00,22.318,45.150680838746666,1022.7879883835353,-99.9374766010523,-0.0977108430448019,4.0,trail_stop,1
LTCUSDT,2023-06-30 16:00:00,2023-07-05 10:00:00,108.18,9.434907729496222,1035.9783429495549,-100.360975780739,-0.09687555387982266,114.0,trail_stop,1
XLMUSDT,2023-07-13 17:00:00,2023-07-14 17:00:00,0.13582,11651.262753516827,1606.211624790395,-116.81526419166028,-0.07272719384464936,24.0,trail_stop,1
UNIUSDT,2023-07-18 07:00:00,2023-07-18 13:00:00,6.188,316.91942475967465,1990.5138614190596,-128.05723296108582,-0.06433375594269532,6.0,trail_stop,1
HBARUSDT,2023-07-20 01:00:00,2023-07-20 09:00:00,0.05915,22539.665440712488,1353.2195289804156,-107.00542789213287,-0.07907469970726494,8.0,trail_stop,1
LINKUSDT,2023-07-20 09:00:00,2023-07-22 23:00:00,8.108,258.19623985545246,2124.856939439229,-130.5332137455732,-0.06143153043518413,62.0,trail_stop,1
SOLUSDT,2023-07-13 15:00:00,2023-07-24 09:00:00,24.061,85.9390318343827,2098.7957306415883,-132.37509999873475,-0.06307193123471265,258.0,trail_stop,1
DOGEUSDT,2023-07-25 16:00:00,2023-07-26 19:00:00,0.07988,21237.574077950587,1721.9042786068933,-115.87331287685328,-0.06729370169786708,27.0,trail_stop,1
UNIUSDT,2023-07-30 05:00:00,2023-07-30 19:00:00,6.397,321.53179448207254,2087.691472641345,-97.93264349550634,-0.04690953849210394,14.0,trail_stop,1
UNIUSDT,2023-07-31 00:00:00,2023-08-01 02:00:00,6.47,314.03922806179,2062.311312643178,-104.82036903487034,-0.050826646972384815,26.0,trail_stop,1
UNIUSDT,2023-08-01 18:00:00,2023-08-02 07:00:00,6.666,300.797050025938,2035.189832504996,-114.09693244401362,-0.05606205898915011,13.0,trail_stop,1
BCHUSDT,2023-06-23 15:00:00,2023-08-02 15:00:00,167.72,9.026169656599395,1536.577212426923,518.9310854629622,0.33771884762194576,960.0,trail_stop,1
SHIBUSDT,2023-08-05 09:00:00,2023-08-07 09:00:00,9.392e-06,209533619.52930453,1997.4588509385162,-125.13861587108543,-0.06264890804248029,48.0,trail_stop,1
SHIBUSDT,2023-08-12 00:00:00,2023-08-12 15:00:00,1.095e-05,189409028.09032038,2105.1392904528434,-126.96149212762204,-0.06031025723733033,15.0,trail_stop,1
XRPUSDT,2023-07-13 15:00:00,2023-08-15 19:00:00,0.5908,3299.290124345612,1978.4589145453383,-46.337097574590715,-0.023420803552667787,796.0,trail_stop,1
HBARUSDT,2023-08-14 02:00:00,2023-08-16 06:00:00,0.064,31902.53437085139,2072.388632730506,-115.97260960646278,-0.05596084044027079,52.0,trail_stop,1
TRXUSDT,2023-10-20 08:00:00,2023-10-20 20:00:00,0.09151,21857.50740738429,2030.1832103924821,-80.0293218790418,-0.03941975358153526,12.0,trail_stop,1
BTCUSDT,2023-10-23 03:00:00,2023-10-23 09:00:00,30736.69,0.06439090502017732,2008.8507357210033,-85.11314718810326,-0.04236907485192274,6.0,trail_stop,1
BCHUSDT,2023-10-23 22:00:00,2023-10-24 06:00:00,263.29,7.094451121673074,1895.916506362683,-117.5408954484904,-0.0619968733085154,8.0,trail_stop,1
ADAUSDT,2023-10-26 07:00:00,2023-10-26 11:00:00,0.29537,6524.111785464934,1955.9323015438692,-108.60019296836532,-0.05552349275209797,4.0,trail_stop,1
TRXUSDT,2023-10-29 11:00:00,2023-10-30 02:00:00,0.09484,20027.28665916597,1927.8786847566298,-70.35808687038235,-0.0364950800206934,15.0,trail_stop,1
ADAUSDT,2023-10-30 10:00:00,2023-10-30 17:00:00,0.29999,6271.263626675942,1909.5361209970133,-89.39103668079318,-0.046812959282550796,7.0,trail_stop,1
NEARUSDT,2023-10-30 19:00:00,2023-10-31 15:00:00,1.2981,1431.701126389391,1886.3686006485593,-109.58328263407,-0.05809218972177218,20.0,trail_stop,1
ETCUSDT,2023-11-01 00:00:00,2023-11-01 14:00:00,17.8,89.92748416689297,1624.7198564432551,-105.26353390961094,-0.06478872864891792,14.0,trail_stop,1
NEARUSDT,2023-11-01 14:00:00,2023-11-09 16:00:00,1.4455,1081.0438009883392,1586.0885465435738,-103.25675364894316,-0.06510150639064995,194.0,trail_stop,1
ETHUSDT,2023-11-09 21:00:00,2023-11-14 18:00:00,2058.82,0.8634514165235442,1804.3564110475081,-102.12653185998118,-0.056599977274274904,117.0,trail_stop,1
AVAXUSDT,2023-11-15 15:00:00,2023-11-21 22:00:00,20.446,49.73618180861008,1032.1595628577243,-84.25220911682216,-0.08162711672559073,151.0,trail_stop,1
LINKUSDT,2023-10-21 13:00:00,2024-01-03 12:00:00,8.408,235.45024102965962,2009.3606109760383,1145.8229031784965,0.5702425422890708,1775.0,trail_stop,1
ARBUSDT,2024-01-03 16:00:00,2024-01-04 10:00:00,2.0464,289.955949402804,602.2663426807666,-78.51708153645859,-0.1303693664616368,18.0,trail_stop,1
BTCUSDT,2023-10-23 16:00:00,2024-01-18 20:00:00,31212.19,0.06271212583749099,1986.7435287478327,525.9388823420511,0.26472409484757703,2092.0,trail_stop,1
ETHUSDT,2024-01-10 15:00:00,2024-01-22 10:00:00,2449.49,0.7008413671487785,1742.45447922352,-113.87998994608323,-0.065356077478036,283.0,trail_stop,1
