symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
STORJUSDT,2023-07-04 15:00:00,2023-07-04 19:00:00,0.4813,1298.5663827134842,1268.7097568359372,-134.169035086995,-0.10575234750428818,4.0,trail_stop,1
STORJUSDT,2023-07-05 07:00:00,2023-07-05 10:00:00,0.5713,956.8574355104922,554.8524427007513,-90.29446409933476,-0.16273599456429408,3.0,trail_stop,1
ONGUSDT,2023-07-11 17:00:00,2023-07-11 21:00:00,0.4173,1463.831916279375,2186.3380410085642,-312.631323849093,-0.14299313188772733,4.0,trail_stop,1
ZENUSDT,2023-07-27 08:00:00,2023-07-29 00:00:00,9.85,60.018371045203224,1200.0592726469138,-97.81736933457776,-0.08151044832879516,40.0,trail_stop,1
PROMUSDT,2023-09-03 16:00:00,2023-09-03 17:00:00,6.439,90.85143120163072,593.7672509899096,-57.93023212923408,-0.09756387209408175,1.0,trail_stop,1
STORJUSDT,2023-09-19 10:00:00,2023-09-20 02:00:00,0.42,1383.9544310861029,1179.852778518356,-120.09277436788489,-0.10178623685464881,16.0,trail_stop,1
SPELLUSDT,2023-09-19 09:00:00,2023-09-21 10:00:00,0.0005642,1030369.7546012693,2273.1569019081,-278.0476271045716,-0.12231783334937282,49.0,trail_stop,1
STORJUSDT,2023-09-29 22:00:00,2023-09-30 02:00:00,0.45,1236.0778385532908,564.5785527592155,-39.64461252726754,-0.07021983448275866,4.0,trail_stop,1
STORJUSDT,2023-10-01 04:00:00,2023-10-03 13:00:00,0.475,1165.7304271715354,2247.8972160226726,-218.67951875082514,-0.0972818139513277,57.0,trail_stop,1
MINAUSDT,2023-10-24 04:00:00,2023-10-24 06:00:00,0.6173,874.5269560893079,1095.8515845426818,-132.02349432198997,-0.12047570691526234,2.0,trail_stop,1
ZENUSDT,2023-10-24 00:00:00,2023-10-24 06:00:00,8.91,60.59640734102707,1095.9906339437503,-78.19918211790784,-0.07135022845635128,6.0,trail_stop,1
MINAUSDT,2023-10-24 07:00:00,2023-10-24 18:00:00,0.7809,674.3988756465646,1181.8847091937532,-217.16175992116382,-0.1837419151224193,11.0,trail_stop,1
ZENUSDT,2023-10-26 07:00:00,2023-10-26 11:00:00,9.38,54.689936482196686,520.68647826605,-31.053606589023975,-0.05963974077536314,4.0,trail_stop,1
COTIUSDT,2023-11-01 20:00:00,2023-11-02 15:00:00,0.04806,10630.22372771034,518.5518806390653,-32.49913625991718,-0.06267287319422142,19.0,trail_stop,1
SUPERUSDT,2023-11-05 17:00:00,2023-11-05 21:00:00,0.0897,5670.719893061021,516.2935280236871,-29.111403282854305,-0.0563853732474421,4.0,trail_stop,1
