symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
SUPERUSDT,2023-02-04 07:15:00,2023-02-04 07:30:00,0.1612,15508.684863523573,2537.4999999999995,-132.03925480769192,-0.052035174308450026,0.25,stop,1
SPELLUSDT,2023-02-04 14:45:00,2023-02-04 15:15:00,0.0009247,2666518.842339094,2502.715923113624,-132.56200246762634,-0.052967258985872526,0.5,trail_stop,1
DEXEUSDT,2023-02-04 14:45:00,2023-02-04 15:30:00,2.987,825.6966224633668,2503.351148467548,-104.1108196820904,-0.04158858007028814,0.75,trail_stop,1
DEXEUSDT,2023-02-04 17:45:00,2023-02-04 18:00:00,3.096,777.1111398555402,2442.025130327643,-124.40067398143495,-0.050941602703631586,0.25,stop,1
SCRTUSDT,2023-02-08 07:00:00,2023-02-08 09:00:00,0.852,2784.528748476402,2408.0047711074226,-123.86770778602026,-0.051439976063276015,2.0,trail_stop,1
AMPUSDT,2023-02-07 22:45:00,2023-02-08 12:30:00,0.00511,464387.6022879151,2408.6159574066146,-121.17613300618869,-0.05030944540310215,13.75,trail_stop,1
ZENUSDT,2023-02-07 21:30:00,2023-02-08 15:00:00,11.56,205.33070540795458,2409.227298833694,-137.17662825135886,-0.056938018391940855,17.5,trail_stop,1
STORJUSDT,2023-02-07 20:00:00,2023-02-08 16:00:00,0.4522,5250.387912903167,2409.838795428034,-133.99456424442974,-0.05560312353616571,20.0,trail_stop,1
SCRTUSDT,2023-02-09 12:30:00,2023-02-09 17:30:00,0.908,2109.1812547214254,1943.86362797636,-127.49173569361984,-0.06558676949284958,5.0,trail_stop,1
ONGUSDT,2023-02-09 13:15:00,2023-02-09 17:45:00,0.3543,4443.084745601308,1597.7976992470412,-116.56693683590423,-0.07295475321490083,4.5,trail_stop,1
DEXEUSDT,2023-02-09 19:15:00,2023-02-09 19:30:00,3.561,523.4070361735036,1891.8102426510538,-124.0233254235768,-0.06555801561248499,0.25,stop,1
ZENUSDT,2023-02-11 13:45:00,2023-02-11 14:00:00,13.73,99.49307774117192,1386.5305567470846,-107.15421585533562,-0.07728226062808762,0.25,stop,1
MINAUSDT,2023-02-11 13:00:00,2023-02-12 22:00:00,1.031,1274.3382609523965,1333.5503882475493,-105.49374687620549,-0.07910743216447738,33.0,trail_stop,1
ZENUSDT,2023-02-15 19:15:00,2023-02-15 20:00:00,15.42,129.32746402850836,2024.1429377493928,-125.66378380500903,-0.06208246535431548,0.75,trail_stop,1
MINAUSDT,2023-02-15 18:00:00,2023-02-16 06:45:00,1.186,1451.8765745177147,1747.7545016386798,-116.96295833572277,-0.06692184641839531,12.75,trail_stop,1
SPELLUSDT,2023-02-16 18:15:00,2023-02-16 19:00:00,0.0009287,2190096.0439239913,2064.4513289320935,-117.56252745516707,-0.05694613663572307,0.75,trail_stop,1
SPELLUSDT,2023-02-17 19:30:00,2023-02-17 20:30:00,0.0009629,2081249.819603475,2034.095983065629,-116.88512606374594,-0.05746293539579479,1.0,trail_stop,1
SPELLUSDT,2023-02-18 05:15:00,2023-02-18 05:30:00,0.0009771,2020576.8557818886,2003.9202304712508,-91.37156177974813,-0.04559640667845386,0.25,stop,1
SPELLUSDT,2023-02-18 07:15:00,2023-02-18 09:15:00,0.0010164,1919482.2661176,1980.2262019111572,-110.46294407846423,-0.05578299285801499,2.0,trail_stop,1
AMPUSDT,2023-02-20 20:30:00,2023-02-20 21:15:00,0.0054,327675.5214673248,1795.9895331624073,-113.37135268272752,-0.06312472906403938,0.75,trail_stop,1
SUPERUSDT,2023-02-20 18:45:00,2023-02-21 09:00:00,0.1663,11562.543491953305,1951.693747452512,-97.59859190930177,-0.05000712434350641,14.25,trail_stop,1
