symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
SPELLUSDT,2023-02-04 14:00:00,2023-02-04 15:00:00,0.0009247,2702893.5060019465,2536.8561093749995,-140.78016204063215,-0.055493948403449615,1.0,stop,1
DEXEUSDT,2023-02-04 14:00:00,2023-02-04 17:00:00,2.987,836.9601606963508,2537.5,-124.226318630733,-0.04895618468206227,3.0,trail_stop,1
DEXEUSDT,2023-02-04 17:00:00,2023-02-04 18:00:00,3.096,785.6846869524596,2468.966987666887,-138.3750813049823,-0.056045739775461054,1.0,stop,1
SCRTUSDT,2023-02-08 07:00:00,2023-02-08 09:00:00,0.863,2288.891158352068,2004.942765702702,-133.9323397510848,-0.0668010788348582,2.0,trail_stop,1
AMPUSDT,2023-02-07 22:00:00,2023-02-08 15:00:00,0.00511,433149.94417534553,2246.5971579570555,-141.58220189629108,-0.0630207339997879,17.0,trail_stop,1
ZENUSDT,2023-02-07 22:00:00,2023-02-08 15:00:00,11.73,166.4028732741268,1981.1842890580897,-133.19792539714695,-0.06723146661963131,17.0,trail_stop,1
STORJUSDT,2023-02-07 20:00:00,2023-02-08 16:00:00,0.457,4361.313727225564,2023.017178942214,-134.54830506605532,-0.06650873085339162,20.0,trail_stop,1
ONGUSDT,2023-02-09 13:00:00,2023-02-09 14:00:00,0.3819,3484.5029484052566,1350.692651135907,-109.27363526454442,-0.08090192478107242,1.0,stop,1
SCRTUSDT,2023-02-09 12:00:00,2023-02-09 17:00:00,0.949,1122.213402494748,1080.9552267520282,-100.77757581081494,-0.09323011103209493,5.0,trail_stop,1
ZENUSDT,2023-02-11 13:00:00,2023-02-11 14:00:00,13.73,87.89108012590675,1224.84569808063,-103.73988929531917,-0.08469629232309236,1.0,stop,1
MINAUSDT,2023-02-11 13:00:00,2023-02-12 21:00:00,1.076,742.8514934739998,811.2978300826941,-90.70791442375453,-0.11180593742560466,32.0,trail_stop,1
MINAUSDT,2023-02-15 18:00:00,2023-02-16 06:00:00,1.185,960.1548733557718,1154.8502778004884,-100.08905096297998,-0.08666842177464613,12.0,trail_stop,1
